remote_version,remote_name,source_status,source_reference
20260518224035,interview_picker_schema,mapped,unify-front-end/supabase/migrations/20260518000000_interview_picker_schema.sql
20260518230114,interview_picker_cron,mapped,unify-front-end/supabase/migrations/20260518000001_interview_picker_cron.sql
20260518230953,interview_picker_cron_no_jwt,remote_only,production
20260519052820,add_first_name_to_users,mapped,unify-front-end/supabase/migrations/20260518_add_first_name_to_users.sql
20260519060346,grant_update_first_name,mapped,unify-front-end/supabase/migrations/20260518_grant_update_first_name.sql
20260523052435,first_name_constraints,mapped,unify-front-end/supabase/migrations/20260518_first_name_constraints.sql
20260523055704,giveaway_window_may23_to_may31,remote_only,production
20260523200640,welcome_email_cron,mapped,unify-front-end/supabase/migrations/20260523_welcome_email_cron.sql
20260523215854,welcome_email_cron_rate_limit,mapped,unify-front-end/supabase/migrations/20260523_welcome_email_cron_rate_limit.sql
20260523221703,welcome_email_skip_backfill,mapped,unify-front-end/supabase/migrations/20260523_welcome_email_skip_backfill.sql
20260622010654,fix_chatbot_usage_counting,mapped,unify-front-end/supabase/migrations/20260621000000_fix_chatbot_usage_counting.sql
20260627175443,module_discussions,remote_only,production
20260705204724,user_practice_answers,mapped,unify-front-end/supabase/migrations/20260705_user_practice_answers.sql
20260816221412,restrict_chatbot_usage_rpc_execution,mapped,unify-front-end/supabase/migrations/20260816215836_restrict_chatbot_usage_rpc_execution.sql
